"id","nom","zone","revenu_annuel","type_acces","connexion_internet","frequence_acces","outil_numerique","frequence_utilisation","objectif_utilisation","impact","satisfaction","filiere","pays"
1,"maraicheur 1","Vallée de l’Ouémé",2162699.9,"Ordinateur","4G","Hebdomadaire","Mobile Money","Quotidienne","Communication","Accès facilité aux informations","Faible","Maraîchage","Bénin"
2,"maraicheur 2","Vallée de l’Ouémé",4928986.42,"Smartphone","2G","Hebdomadaire","Mobile Money","Hebdomadaire","Communication","Amélioration des ventes","Moyenne","Maraîchage","Bénin"
3,"maraicheur 3","Vallée de l’Ouémé",1193910.35,"Smartphone","2G","Hebdomadaire","Facebook","Mensuelle","Gestion financière","Accès facilité aux informations","Faible","Maraîchage","Bénin"
4,"maraicheur 4","Sémè Kpodji",909698,"Ordinateur","Wi-Fi","Hebdomadaire","WhatsApp","Quotidienne","Recherche d'informations","Réduction des coûts","Moyenne","Maraîchage","Bénin"
5,"maraicheur 5","Vallée de l’Ouémé",1138581.09,"Tablette","2G","Quotidienne","Mobile Money","Quotidienne","Communication","Amélioration des ventes","Faible","Maraîchage","Bénin"
6,"maraicheur 6","Sémè Kpodji",3605031.96,"Smartphone","2G","Hebdomadaire","Facebook","Mensuelle","Communication","Amélioration des ventes","Moyenne","Maraîchage","Bénin"
7,"maraicheur 7","Sémè Kpodji",3286654.18,"Ordinateur","2G","Quotidienne","WhatsApp","Mensuelle","Communication","Amélioration des ventes","Moyenne","Maraîchage","Bénin"
8,"maraicheur 8","Sémè Kpodji",4511273.53,"Ordinateur","Wi-Fi","Hebdomadaire","Mobile Money","Hebdomadaire","Recherche d'informations","Accès facilité aux informations","Faible","Maraîchage","Bénin"
9,"maraicheur 9","Vallée de l’Ouémé",3528495.92,"Smartphone","4G","Quotidienne","Mobile Money","Quotidienne","Recherche d'informations","Amélioration des ventes","Moyenne","Maraîchage","Bénin"
10,"maraicheur 10","Grand Popo",3816849.82,"Ordinateur","2G","Mensuelle","Mobile Money","Mensuelle","Recherche d'informations","Réduction des coûts","Élevée","Maraîchage","Bénin"
11,"maraicheur 11","Sémè Kpodji",2845110.77,"Smartphone","Wi-Fi","Hebdomadaire","Facebook","Mensuelle","Vente","Amélioration des ventes","Faible","Maraîchage","Bénin"
12,"maraicheur 12","Sémè Kpodji",3469273.02,"Smartphone","2G","Quotidienne","WhatsApp","Mensuelle","Vente","Accès facilité aux informations","Élevée","Maraîchage","Bénin"
13,"maraicheur 13","Grand Popo",4198124.57,"Ordinateur","4G","Mensuelle","Facebook","Quotidienne","Vente","Accès facilité aux informations","Faible","Maraîchage","Bénin"
14,"maraicheur 14","Sémè Kpodji",4038266.98,"Smartphone","4G","Hebdomadaire","Mobile Money","Mensuelle","Recherche d'informations","Accès facilité aux informations","Moyenne","Maraîchage","Bénin"
15,"maraicheur 15","Vallée de l’Ouémé",4909198.63,"Tablette","Wi-Fi","Mensuelle","WhatsApp","Mensuelle","Vente","Réduction des coûts","Élevée","Maraîchage","Bénin"
16,"maraicheur 16","Grand Popo",2477441.91,"Smartphone","3G","Hebdomadaire","Facebook","Quotidienne","Gestion financière","Accès facilité aux informations","Élevée","Maraîchage","Bénin"
17,"maraicheur 17","Vallée de l’Ouémé",1902659.91,"Smartphone","2G","Mensuelle","WhatsApp","Hebdomadaire","Gestion financière","Réduction des coûts","Faible","Maraîchage","Bénin"
18,"maraicheur 18","Vallée de l’Ouémé",2342637.29,"Ordinateur","2G","Mensuelle","Facebook","Quotidienne","Vente","Amélioration des ventes","Élevée","Maraîchage","Bénin"
19,"maraicheur 19","Grand Popo",547102,"Smartphone","2G","Quotidienne","Facebook","Hebdomadaire","Recherche d'informations","Accès facilité aux informations","Moyenne","Maraîchage","Bénin"
20,"maraicheur 20","Grand Popo",1327322.86,"Ordinateur","3G","Hebdomadaire","Mobile Money","Hebdomadaire","Communication","Réduction des coûts","Faible","Maraîchage","Bénin"
21,"maraicheur 21","Grand Popo",4292281.93,"Smartphone","2G","Mensuelle","Facebook","Quotidienne","Recherche d'informations","Réduction des coûts","Faible","Maraîchage","Bénin"
22,"maraicheur 22","Grand Popo",1540228.02,"Smartphone","3G","Quotidienne","Facebook","Mensuelle","Gestion financière","Amélioration des ventes","Moyenne","Maraîchage","Bénin"
23,"maraicheur 23","Vallée de l’Ouémé",1575949.8,"Smartphone","2G","Quotidienne","Facebook","Quotidienne","Communication","Réduction des coûts","Moyenne","Maraîchage","Bénin"
24,"maraicheur 24","Sémè Kpodji",845110.24,"Tablette","Wi-Fi","Mensuelle","Facebook","Hebdomadaire","Gestion financière","Amélioration des ventes","Moyenne","Maraîchage","Bénin"
25,"maraicheur 25","Vallée de l’Ouémé",1605756.55,"Tablette","2G","Hebdomadaire","Facebook","Hebdomadaire","Gestion financière","Réduction des coûts","Faible","Maraîchage","Bénin"
26,"maraicheur 26","Sémè Kpodji",3794608.42,"Ordinateur","4G","Mensuelle","Mobile Money","Quotidienne","Gestion financière","Accès facilité aux informations","Faible","Maraîchage","Bénin"
27,"maraicheur 27","Grand Popo",4313539.24,"Smartphone","4G","Hebdomadaire","WhatsApp","Hebdomadaire","Communication","Accès facilité aux informations","Faible","Maraîchage","Bénin"
28,"maraicheur 28","Sémè Kpodji",2738872.7,"Ordinateur","3G","Hebdomadaire","WhatsApp","Quotidienne","Recherche d'informations","Réduction des coûts","Moyenne","Maraîchage","Bénin"
29,"maraicheur 29","Vallée de l’Ouémé",2245590.63,"Tablette","3G","Hebdomadaire","Mobile Money","Quotidienne","Vente","Réduction des coûts","Élevée","Maraîchage","Bénin"
30,"maraicheur 30","Sémè Kpodji",1609020.47,"Ordinateur","2G","Quotidienne","Mobile Money","Hebdomadaire","Gestion financière","Amélioration des ventes","Faible","Maraîchage","Bénin"
31,"maraicheur 31","Grand Popo",999934.08,"Tablette","4G","Hebdomadaire","Mobile Money","Hebdomadaire","Gestion financière","Réduction des coûts","Faible","Maraîchage","Bénin"
32,"maraicheur 32","Vallée de l’Ouémé",2254974.96,"Ordinateur","Wi-Fi","Quotidienne","Mobile Money","Hebdomadaire","Recherche d'informations","Accès facilité aux informations","Faible","Maraîchage","Bénin"
33,"maraicheur 33","Vallée de l’Ouémé",3073708.91,"Tablette","2G","Quotidienne","Facebook","Hebdomadaire","Recherche d'informations","Réduction des coûts","Faible","Maraîchage","Bénin"
34,"maraicheur 34","Grand Popo",1476017.43,"Smartphone","2G","Quotidienne","WhatsApp","Mensuelle","Communication","Accès facilité aux informations","Faible","Maraîchage","Bénin"
35,"maraicheur 35","Vallée de l’Ouémé",2501456.01,"Smartphone","3G","Hebdomadaire","WhatsApp","Quotidienne","Communication","Amélioration des ventes","Faible","Maraîchage","Bénin"
36,"maraicheur 36","Sémè Kpodji",1480958.01,"Smartphone","2G","Hebdomadaire","Mobile Money","Quotidienne","Communication","Réduction des coûts","Élevée","Maraîchage","Bénin"
37,"maraicheur 37","Grand Popo",2760348.03,"Smartphone","3G","Mensuelle","Facebook","Quotidienne","Recherche d'informations","Accès facilité aux informations","Élevée","Maraîchage","Bénin"
38,"maraicheur 38","Vallée de l’Ouémé",2092570.57,"Tablette","3G","Mensuelle","Facebook","Quotidienne","Gestion financière","Amélioration des ventes","Élevée","Maraîchage","Bénin"
39,"maraicheur 39","Grand Popo",3424933.21,"Ordinateur","3G","Quotidienne","Mobile Money","Mensuelle","Gestion financière","Réduction des coûts","Élevée","Maraîchage","Bénin"
40,"maraicheur 40","Grand Popo",2186212.8,"Smartphone","3G","Hebdomadaire","WhatsApp","Hebdomadaire","Recherche d'informations","Accès facilité aux informations","Élevée","Maraîchage","Bénin"
41,"maraicheur 41","Sémè Kpodji",2099504.21,"Ordinateur","Wi-Fi","Hebdomadaire","Mobile Money","Quotidienne","Recherche d'informations","Réduction des coûts","Moyenne","Maraîchage","Bénin"
42,"maraicheur 42","Vallée de l’Ouémé",2901595.75,"Smartphone","Wi-Fi","Mensuelle","Mobile Money","Quotidienne","Recherche d'informations","Amélioration des ventes","Élevée","Maraîchage","Bénin"
43,"maraicheur 43","Vallée de l’Ouémé",3831504.62,"Tablette","Wi-Fi","Mensuelle","WhatsApp","Mensuelle","Communication","Accès facilité aux informations","Moyenne","Maraîchage","Bénin"
44,"maraicheur 44","Grand Popo",1494963.22,"Tablette","Wi-Fi","Mensuelle","WhatsApp","Mensuelle","Communication","Accès facilité aux informations","Moyenne","Maraîchage","Bénin"
45,"maraicheur 45","Vallée de l’Ouémé",2357357.53,"Smartphone","4G","Mensuelle","Mobile Money","Quotidienne","Recherche d'informations","Accès facilité aux informations","Faible","Maraîchage","Bénin"
46,"maraicheur 46","Grand Popo",1695590.09,"Ordinateur","Wi-Fi","Hebdomadaire","Mobile Money","Quotidienne","Vente","Amélioration des ventes","Faible","Maraîchage","Bénin"
47,"maraicheur 47","Vallée de l’Ouémé",3334878.74,"Tablette","4G","Quotidienne","Facebook","Hebdomadaire","Recherche d'informations","Accès facilité aux informations","Élevée","Maraîchage","Bénin"
48,"maraicheur 48","Sémè Kpodji",1327228.21,"Smartphone","4G","Quotidienne","Facebook","Mensuelle","Gestion financière","Réduction des coûts","Moyenne","Maraîchage","Bénin"
49,"maraicheur 49","Grand Popo",4386398.5,"Tablette","4G","Mensuelle","Mobile Money","Quotidienne","Gestion financière","Réduction des coûts","Moyenne","Maraîchage","Bénin"
50,"maraicheur 50","Sémè Kpodji",3859556.02,"Ordinateur","2G","Quotidienne","Facebook","Quotidienne","Vente","Réduction des coûts","Élevée","Maraîchage","Bénin"
51,"maraicheur 51","Grand Popo",3507280.92,"Smartphone","4G","Hebdomadaire","Mobile Money","Mensuelle","Recherche d'informations","Accès facilité aux informations","Faible","Maraîchage","Bénin"
52,"maraicheur 52","Grand Popo",3281080.43,"Smartphone","4G","Hebdomadaire","Mobile Money","Quotidienne","Communication","Amélioration des ventes","Faible","Maraîchage","Bénin"
53,"maraicheur 53","Vallée de l’Ouémé",2175071.27,"Smartphone","4G","Mensuelle","Facebook","Hebdomadaire","Gestion financière","Amélioration des ventes","Moyenne","Maraîchage","Bénin"
54,"maraicheur 54","Grand Popo",2884260.59,"Smartphone","Wi-Fi","Hebdomadaire","Mobile Money","Hebdomadaire","Communication","Réduction des coûts","Élevée","Maraîchage","Bénin"
55,"maraicheur 55","Sémè Kpodji",4436070.54,"Smartphone","3G","Quotidienne","Mobile Money","Mensuelle","Recherche d'informations","Réduction des coûts","Faible","Maraîchage","Bénin"
56,"maraicheur 56","Grand Popo",3117875.45,"Tablette","4G","Mensuelle","WhatsApp","Quotidienne","Recherche d'informations","Accès facilité aux informations","Moyenne","Maraîchage","Bénin"
57,"maraicheur 57","Grand Popo",4278954.94,"Ordinateur","4G","Quotidienne","Mobile Money","Mensuelle","Communication","Réduction des coûts","Élevée","Maraîchage","Bénin"
58,"maraicheur 58","Vallée de l’Ouémé",1906016.74,"Ordinateur","4G","Quotidienne","WhatsApp","Quotidienne","Gestion financière","Réduction des coûts","Faible","Maraîchage","Bénin"
59,"maraicheur 59","Grand Popo",3687306.45,"Ordinateur","2G","Mensuelle","Facebook","Mensuelle","Vente","Amélioration des ventes","Moyenne","Maraîchage","Bénin"
60,"maraicheur 60","Sémè Kpodji",1692580.13,"Tablette","2G","Hebdomadaire","WhatsApp","Mensuelle","Gestion financière","Accès facilité aux informations","Moyenne","Maraîchage","Bénin"
61,"maraicheur 61","Grand Popo",3174544.37,"Smartphone","4G","Quotidienne","Mobile Money","Quotidienne","Gestion financière","Amélioration des ventes","Moyenne","Maraîchage","Bénin"
62,"maraicheur 62","Vallée de l’Ouémé",2665804.1,"Ordinateur","3G","Quotidienne","Mobile Money","Mensuelle","Recherche d'informations","Accès facilité aux informations","Moyenne","Maraîchage","Bénin"
63,"maraicheur 63","Grand Popo",1692647.29,"Ordinateur","4G","Hebdomadaire","Facebook","Mensuelle","Gestion financière","Accès facilité aux informations","Moyenne","Maraîchage","Bénin"
64,"maraicheur 64","Vallée de l’Ouémé",3040656.96,"Smartphone","3G","Hebdomadaire","Facebook","Mensuelle","Vente","Accès facilité aux informations","Élevée","Maraîchage","Bénin"
65,"maraicheur 65","Sémè Kpodji",4609347,"Ordinateur","2G","Hebdomadaire","WhatsApp","Mensuelle","Communication","Accès facilité aux informations","Élevée","Maraîchage","Bénin"
66,"maraicheur 66","Vallée de l’Ouémé",4558434.75,"Smartphone","Wi-Fi","Hebdomadaire","Facebook","Mensuelle","Gestion financière","Réduction des coûts","Faible","Maraîchage","Bénin"
67,"maraicheur 67","Sémè Kpodji",1733749.8,"Smartphone","3G","Quotidienne","Mobile Money","Hebdomadaire","Recherche d'informations","Réduction des coûts","Élevée","Maraîchage","Bénin"
68,"maraicheur 68","Sémè Kpodji",1946672.4,"Ordinateur","3G","Mensuelle","Mobile Money","Mensuelle","Recherche d'informations","Amélioration des ventes","Élevée","Maraîchage","Bénin"
69,"maraicheur 69","Vallée de l’Ouémé",4935383.98,"Tablette","3G","Mensuelle","Mobile Money","Hebdomadaire","Gestion financière","Amélioration des ventes","Faible","Maraîchage","Bénin"
70,"maraicheur 70","Sémè Kpodji",3289969.9,"Smartphone","Wi-Fi","Hebdomadaire","Facebook","Mensuelle","Vente","Accès facilité aux informations","Élevée","Maraîchage","Bénin"
71,"maraicheur 71","Sémè Kpodji",4717913.4,"Tablette","2G","Mensuelle","WhatsApp","Hebdomadaire","Vente","Réduction des coûts","Moyenne","Maraîchage","Bénin"
72,"maraicheur 72","Vallée de l’Ouémé",2599397.16,"Smartphone","Wi-Fi","Mensuelle","Facebook","Quotidienne","Recherche d'informations","Amélioration des ventes","Faible","Maraîchage","Bénin"
73,"maraicheur 73","Vallée de l’Ouémé",2330746.67,"Ordinateur","2G","Mensuelle","Mobile Money","Quotidienne","Recherche d'informations","Réduction des coûts","Faible","Maraîchage","Bénin"
74,"maraicheur 74","Grand Popo",3466536.46,"Smartphone","2G","Hebdomadaire","Facebook","Mensuelle","Recherche d'informations","Réduction des coûts","Moyenne","Maraîchage","Bénin"
75,"maraicheur 75","Sémè Kpodji",1185559.78,"Ordinateur","4G","Mensuelle","Mobile Money","Quotidienne","Vente","Réduction des coûts","Moyenne","Maraîchage","Bénin"
76,"maraicheur 76","Sémè Kpodji",3077901.76,"Ordinateur","4G","Mensuelle","Mobile Money","Hebdomadaire","Recherche d'informations","Amélioration des ventes","Élevée","Maraîchage","Bénin"
77,"maraicheur 77","Grand Popo",1574267.12,"Ordinateur","2G","Hebdomadaire","WhatsApp","Quotidienne","Gestion financière","Accès facilité aux informations","Faible","Maraîchage","Bénin"
78,"maraicheur 78","Sémè Kpodji",4830615.21,"Tablette","2G","Hebdomadaire","Facebook","Hebdomadaire","Gestion financière","Accès facilité aux informations","Faible","Maraîchage","Bénin"
79,"maraicheur 79","Grand Popo",3206145.77,"Smartphone","4G","Mensuelle","Facebook","Hebdomadaire","Vente","Réduction des coûts","Élevée","Maraîchage","Bénin"
80,"maraicheur 80","Grand Popo",2817633.77,"Smartphone","2G","Hebdomadaire","Facebook","Quotidienne","Communication","Réduction des coûts","Faible","Maraîchage","Bénin"
81,"maraicheur 81","Sémè Kpodji",2311580.04,"Smartphone","4G","Mensuelle","Facebook","Quotidienne","Recherche d'informations","Réduction des coûts","Élevée","Maraîchage","Bénin"
82,"maraicheur 82","Vallée de l’Ouémé",4461109.44,"Smartphone","Wi-Fi","Hebdomadaire","Facebook","Hebdomadaire","Recherche d'informations","Amélioration des ventes","Élevée","Maraîchage","Bénin"
83,"maraicheur 83","Vallée de l’Ouémé",2138413.39,"Tablette","3G","Hebdomadaire","WhatsApp","Mensuelle","Communication","Accès facilité aux informations","Moyenne","Maraîchage","Bénin"
84,"maraicheur 84","Grand Popo",1797076.76,"Smartphone","2G","Quotidienne","WhatsApp","Quotidienne","Communication","Amélioration des ventes","Élevée","Maraîchage","Bénin"
85,"maraicheur 85","Sémè Kpodji",1267903.56,"Ordinateur","2G","Hebdomadaire","Mobile Money","Hebdomadaire","Vente","Réduction des coûts","Élevée","Maraîchage","Bénin"
86,"maraicheur 86","Grand Popo",1274772.86,"Smartphone","4G","Mensuelle","WhatsApp","Quotidienne","Communication","Accès facilité aux informations","Élevée","Maraîchage","Bénin"
87,"maraicheur 87","Sémè Kpodji",2669191.72,"Ordinateur","Wi-Fi","Quotidienne","Mobile Money","Hebdomadaire","Vente","Amélioration des ventes","Élevée","Maraîchage","Bénin"
88,"maraicheur 88","Grand Popo",1638342.18,"Ordinateur","3G","Quotidienne","Mobile Money","Mensuelle","Vente","Amélioration des ventes","Élevée","Maraîchage","Bénin"
89,"maraicheur 89","Vallée de l’Ouémé",1473146.55,"Smartphone","4G","Mensuelle","Facebook","Hebdomadaire","Gestion financière","Réduction des coûts","Élevée","Maraîchage","Bénin"
90,"maraicheur 90","Vallée de l’Ouémé",3534693.75,"Smartphone","3G","Hebdomadaire","Mobile Money","Hebdomadaire","Gestion financière","Accès facilité aux informations","Faible","Maraîchage","Bénin"
91,"maraicheur 91","Sémè Kpodji",714486.32,"Smartphone","2G","Quotidienne","Facebook","Mensuelle","Gestion financière","Amélioration des ventes","Faible","Maraîchage","Bénin"
92,"maraicheur 92","Vallée de l’Ouémé",3653838.89,"Smartphone","3G","Quotidienne","WhatsApp","Quotidienne","Recherche d'informations","Réduction des coûts","Élevée","Maraîchage","Bénin"
93,"maraicheur 93","Grand Popo",2083498.87,"Tablette","4G","Mensuelle","WhatsApp","Hebdomadaire","Gestion financière","Amélioration des ventes","Élevée","Maraîchage","Bénin"
94,"maraicheur 94","Sémè Kpodji",2340247.99,"Smartphone","3G","Mensuelle","Facebook","Mensuelle","Vente","Amélioration des ventes","Faible","Maraîchage","Bénin"
95,"maraicheur 95","Sémè Kpodji",4194280.96,"Smartphone","4G","Mensuelle","WhatsApp","Mensuelle","Vente","Accès facilité aux informations","Moyenne","Maraîchage","Bénin"
96,"maraicheur 96","Vallée de l’Ouémé",4634858.07,"Smartphone","4G","Quotidienne","Mobile Money","Quotidienne","Vente","Accès facilité aux informations","Moyenne","Maraîchage","Bénin"
97,"maraicheur 97","Sémè Kpodji",1771377.49,"Ordinateur","2G","Hebdomadaire","Facebook","Mensuelle","Gestion financière","Accès facilité aux informations","Faible","Maraîchage","Bénin"
98,"maraicheur 98","Grand Popo",4824971.57,"Ordinateur","3G","Hebdomadaire","Facebook","Quotidienne","Gestion financière","Accès facilité aux informations","Faible","Maraîchage","Bénin"
99,"maraicheur 99","Vallée de l’Ouémé",3777774.93,"Tablette","Wi-Fi","Mensuelle","Mobile Money","Quotidienne","Gestion financière","Accès facilité aux informations","Moyenne","Maraîchage","Bénin"
100,"maraicheur 100","Vallée de l’Ouémé",3588687.87,"Ordinateur","2G","Mensuelle","WhatsApp","Mensuelle","Communication","Réduction des coûts","Faible","Maraîchage","Bénin"
101,"Éleveur 1","Autres zones",6773258.81,"Tablette","4G","Mensuelle","Application de paiement","Hebdomadaire","Gestion du lait","Négatif","Accès limité","Élevage Laitier","Sénégal"
102,"Éleveur 2","Autres zones",5613174.74,"Tablette","4G","Mensuelle","Plateforme de gestion","Quotidienne","Gestion du lait","Négatif","Accès limité","Élevage Laitier","Sénégal"
103,"Éleveur 3","Richard-Toll",3883169.06,"Smartphone","3G","Quotidienne","Application de collecte de lait","Hebdomadaire","Paiement","Neutre","Accès limité","Élevage Laitier","Sénégal"
104,"Éleveur 4","Richard-Toll",6232898.42,"Tablette","3G","Quotidienne","Plateforme de gestion","Quotidienne","Paiement","Positif","Usages restreints","Élevage Laitier","Sénégal"
105,"Éleveur 5","Autres zones",6556099.67,"Ordinateur","3G","Mensuelle","Plateforme de gestion","Mensuelle","Paiement","Positif","Accès limité","Élevage Laitier","Sénégal"
